Registration Group Number,Registration Group Name,Support Category Number,Support Category Name,Support Item Number,Support Item Name,Support Item Description,Unit,Price Controlled,Quote Required,"NT 
SA 
TAS 
WA
(MM 1-5)","ACT
NSW
QLD
VIC
(MM 1-5)","National
Non-Remote
(MM 1-5)","National Remote

(MM 6)","National Very Remote
(MM 7)",Travel,Cancellations,NDIA Reporting,Non-F2F
103,Assistive Products For Personal Care And Safety,3,Consumables,03_092406063_0103_1_1,Adult Intermittent Catheters Standard 6/Day - Annual Amount,,YR,N,N,,,,,,N,N,N,N
103,Assistive Products For Personal Care And Safety,3,Consumables,03_092488056_0103_1_1,Continence Products Urinary - Other For Child,Individualised continence package or products not listed elsewhere in this list.,EA,N,N,,,,,,N,N,N,N
103,Assistive Products For Personal Care And Safety,3,Consumables,03_092489060_0103_1_1,Continence Products Urinary - Other For Adult,,EA,N,N,,,,,,N,N,N,N
103,Assistive Products For Personal Care And Safety,3,Consumables,03_092718064_0103_1_1,Continence Package E - External,"Sheaths, leg bags, drain bag or bottle, straps- annual amount",YR,N,N,,,,,,N,N,N,N
103,Assistive Products For Personal Care And Safety,3,Consumables,03_093012065_0103_1_1,Child Nappy Single-Use 3/Day - Annual Supply,Nappy for a child’s disability specific needs,YR,N,N,,,,,,N,N,N,N
103,Assistive Products For Personal Care And Safety,3,Consumables,03_093012066_0103_1_1,Child Nappy Single-Use 4/Day - Annual Supply,Nappy for a child’s disability specific needs,YR,N,N,,,,,,N,N,N,N
103,Assistive Products For Personal Care And Safety,3,Consumables,03_093012067_0103_1_1,Child Nappy Single-Use 6/Day - Annual Supply,Nappy for a child’s disability specific needs,YR,N,N,,,,,,N,N,N,N
103,Assistive Products For Personal Care And Safety,3,Consumables,03_093012068_0103_1_1,Child Nappy Single-Use 12/Day - Annual Supply,Nappy for a child’s disability specific needs,YR,N,N,,,,,,N,N,N,N
103,Assistive Products For Personal Care And Safety,3,Consumables,03_093015069_0103_1_1,Washable Incontinence Products For Children,,EA,N,N,,,,,,N,N,N,N
103,Assistive Products For Personal Care And Safety,3,Consumables,03_093018070_0103_1_1,Single-Use Inserts/Pads - Adult 3/Day - Annual Supply,,YR,N,N,,,,,,N,N,N,N
103,Assistive Products For Personal Care And Safety,3,Consumables,03_093018071_0103_1_1,Single-Use Inserts/Pads - Adult 4/Day - Annual Supply,,YR,N,N,,,,,,N,N,N,N
103,Assistive Products For Personal Care And Safety,3,Consumables,03_093018072_0103_1_1,Single-Use Inserts/Pads - Adult 6/Day - Annual Supply,,YR,N,N,,,,,,N,N,N,N
103,Assistive Products For Personal Care And Safety,3,Consumables,03_093018073_0103_1_1,Single-Use Inserts/Pads - Adult 12/Day - Annual Supply,,YR,N,N,,,,,,N,N,N,N
103,Assistive Products For Personal Care And Safety,3,Consumables,03_093021074_0103_1_1,Adult Absorbent Pull Up Or Brief 3/Day - Annual Supply,Single-use diapers,YR,N,N,,,,,,N,N,N,N
103,Assistive Products For Personal Care And Safety,3,Consumables,03_093021075_0103_1_1,Adult Absorbent Pull Up Or Brief 4/Day - Annual Supply,Single-use diapers,YR,N,N,,,,,,N,N,N,N
103,Assistive Products For Personal Care And Safety,3,Consumables,03_093021076_0103_1_1,Adult Absorbent Pull Up Or Brief 6/Day - Annual Supply,Single-use diapers,YR,N,N,,,,,,N,N,N,N
103,Assistive Products For Personal Care And Safety,3,Consumables,03_093021077_0103_1_1,Adult Absorbent Pull Up Or Brief 12/Day - Annual Supply,Single-use diapers,YR,N,N,,,,,,N,N,N,N
103,Assistive Products For Personal Care And Safety,3,Consumables,03_093036132_0103_1_1,Washable Incontinence Pants For Adults,Washable incontinence pants for adults,EA,N,N,,,,,,N,N,N,N
103,Assistive Products For Personal Care And Safety,3,Consumables,03_093045133_0103_1_1,Non-Body-Worn Washable Products For Absorbing Urine And Faeces,Non-body-worn washable products for absorbing urine and faeces.,EA,N,N,,,,,,N,N,N,N
105,Personal Mobility Equipment,3,Consumables,03_120000911_0105_1_1,Low Cost AT For Personal Mobility,,EA,Y,N,,,$100.00,$100.00,$100.00,N,N,N,N
103,Assistive Products For Personal Care And Safety,3,Consumables,03_150930078_0103_1_1,HEN Pump Accessory - Items Required For Syringe Feeding - Annual Amount,"Pump often free on loan, includes gastrostomy, extension tubes, giving sets, containers and syringes.",YR,N,N,,,,,,N,N,N,N
103,Assistive Products For Personal Care And Safety,3,Consumables,03_150930079_0103_1_1,HEN Pump With Associated Consumables (Non-Syringe Feed) - Annual Amount,Pump often free on loan but includes other consumables for people who do not also syringe feed,YR,N,N,,,,,,N,N,N,N
103,Assistive Products For Personal Care And Safety,3,Consumables,03_150930080_0103_1_1,HEN Bolus Syringe Only - Annual Amount,Average annual allocation,YR,N,N,,,,,,N,N,N,N
103,Assistive Products For Personal Care And Safety,3,Consumables,03_150930081_0103_1_1,Additional Gastrostomy Devices- 3 Annual,Average annual allocation,YR,N,N,,,,,,N,N,N,N
103,Assistive Products For Personal Care And Safety,3,Consumables,03_150930082_0103_1_1,Additional Extension Sets For Bolus Feeding - 10/Annual,Average annual allocation,YR,N,N,,,,,,N,N,N,N
103,Assistive Products For Personal Care And Safety,3,Consumables,03_150930083_0103_1_1,Additional Extension Sets For Pump Feeding - 10/Annual,Average annual allocation,YR,N,N,,,,,,N,N,N,N
103,Assistive Products For Personal Care And Safety,3,Consumables,03_150930084_0103_1_1,Additional Giving Sets - 270/Annual,Average annual allocation,YR,N,N,,,,,,N,N,N,N
103,Assistive Products For Personal Care And Safety,3,Consumables,03_150930085_0103_1_1,Additional Containers - 50/Annual,Average annual allocation,YR,N,N,,,,,,N,N,N,N
103,Assistive Products For Personal Care And Safety,3,Consumables,03_150930086_0103_1_1,Additional Bolus Syringes - 100/Annual,Average annual allocation,YR,N,N,,,,,,N,N,N,N
103,Assistive Products For Personal Care And Safety,3,Consumables,03_150930087_0103_1_1,Additional Water Flush Syringes - 100/Annual,Average annual allocation,YR,N,N,,,,,,N,N,N,N
103,Assistive Products For Personal Care And Safety,3,Consumables,03_150930088_0103_1_1,Other HEN Equipment Including Additional Cost Of Food When Necessary,HEN equipment outside usual 12 month bundles,EA,N,N,,,,,,N,N,N,N
113,Vision Equipment,3,Consumables,03_220300911_0113_1_1,Low Cost AT For Vision Related AT,,EA,Y,N,,,$100.00,$100.00,$100.00,N,N,N,N
122,Hearing Equipment,3,Consumables,03_220600911_0122_1_1,Low Cost AT For Hearing Related AT,,EA,Y,N,,,$100.00,$100.00,$100.00,N,N,N,N
124,Communication And Information Equipment,3,Consumables,03_222100911_0124_1_1,Low Cost AT For Communication Or Cognitive Support,,EA,Y,N,,,$100.00,$100.00,$100.00,N,N,N,N
103,Assistive Products For Personal Care And Safety,3,Consumables,03_501509092_0103_1_1,HEN Equipment Repairs,,EA,N,N,,,,,,N,N,N,N
103,Assistive Products For Personal Care And Safety,3,Consumables,03_710930093_0103_1_1,Continence Aids Delivery - Non Metropolitan,Delivery of continence items in regional and remote areas - expected maximum up to 4 deliveries per year.  Price guidance is per delivery.,EA,N,N,,,,,,N,N,N,N
103,Assistive Products For Personal Care And Safety,3,Consumables,03_710930094_0103_1_1,Continence Aids Delivery - Metropolitan,Delivery of continence items in regional Metropolitan areas - expected maximum up to 4 deliveries per year. Price guidance is per delivery.,EA,N,N,,,,,,N,N,N,N
103,Assistive Products For Personal Care And Safety,3,Consumables,03_711509095_0103_1_1,HEN Equipment Delivery,,EA,N,N,,,,,,N,N,N,N
130,Assistance Animals (Other Innovative Supports),3,Consumables,03_900100155_0130_1_1,Assistance Dog (Including Guide Dog) Ongoing Costs,Assistance dog (including guide dog) ongoing costs,MON,Y,N,,,$222.00,$222.00,$222.00,N,N,N,N
125,"Participation In Community, Social And Civic Activities",4,Assistance with social and community participation,04_102_0125_6_1,"Access Community, Social And Rec Activities - Standard - Public Holiday","Provision of support to enable a participant to engage in community, social and/or recreational activities.",H,Y,N,,,$118.34,$165.68,$177.51,Y,Y,N,Y
125,"Participation In Community, Social And Civic Activities",4,Assistance with social and community participation,04_102_0125_6_1_T,"Access Community, Social And Rec Activities - Standard - Public Holiday - TTP","Provision of support to enable a participant to engage in community, social and/or recreational activities. Support delivered by a TTP provider.",H,Y,N,,,$127.21,$178.09,$190.82,Y,Y,N,Y
125,"Participation In Community, Social And Civic Activities",4,Assistance with social and community participation,04_103_0125_6_1,"Access Community, Social And Rec Activities - Standard - Evening","Provision of support to enable a participant to engage in community, social and/or recreational activities.",H,Y,N,,,$58.31,$81.63,$87.47,Y,Y,N,Y
125,"Participation In Community, Social And Civic Activities",4,Assistance with social and community participation,04_103_0125_6_1_T,"Access Community, Social And Rec Activities - Standard - Evening - TTP","Provision of support to enable a participant to engage in community, social and/or recreational activities. Support delivered by a TTP provider.",H,Y,N,,,$62.69,$87.77,$94.04,Y,Y,N,Y
125,"Participation In Community, Social And Civic Activities",4,Assistance with social and community participation,04_104_0125_6_1,"Access Community, Social And Rec Activities - Standard - Weekday Daytime","Provision of support to enable a participant to engage in community, social and/or recreational activities.",H,Y,N,,,$52.85,$73.99,$79.28,Y,Y,N,Y
125,"Participation In Community, Social And Civic Activities",4,Assistance with social and community participation,04_104_0125_6_1_T,"Access Community, Social And Rec Activities - Standard - Weekday Daytime - TTP","Provision of support to enable a participant to engage in community, social and/or recreational activities. Support delivered by a TTP provider.",H,Y,N,,,$56.81,$79.53,$85.22,Y,Y,N,Y
125,"Participation In Community, Social And Civic Activities",4,Assistance with social and community participation,04_105_0125_6_1,"Access Community, Social And Rec Activities - Standard - Saturday","Provision of support to enable a participant to engage in community, social and/or recreational activities.",H,Y,N,,,$72.69,$101.77,$109.04,Y,Y,N,Y
125,"Participation In Community, Social And Civic Activities",4,Assistance with social and community participation,04_105_0125_6_1_T,"Access Community, Social And Rec Activities - Standard - Saturday - TTP","Provision of support to enable a participant to engage in community, social and/or recreational activities. Support delivered by a TTP provider.",H,Y,N,,,$78.14,$109.40,$117.21,Y,Y,N,Y
125,"Participation In Community, Social And Civic Activities",4,Assistance with social and community participation,04_106_0125_6_1,"Access Community, Social And Rec Activities - Standard - Sunday","Provision of support to enable a participant to engage in community, social and/or recreational activities.",H,Y,N,,,$94.52,$132.33,$141.78,Y,Y,N,Y
125,"Participation In Community, Social And Civic Activities",4,Assistance with social and community participation,04_106_0125_6_1_T,"Access Community, Social And Rec Activities - Standard - Sunday - TTP","Provision of support to enable a participant to engage in community, social and/or recreational activities. Support delivered by a TTP provider.",H,Y,N,,,$101.61,$142.25,$152.42,Y,Y,N,Y
136,Group And Centre Based Activities,4,Assistance with social and community participation,04_111_0136_6_1,Group Activities In The Community - 1:2 - Standard - Weekday Daytime,"Provision of support to enable a participant to engage in community, social and/or recreational activities.",H,Y,N,,,$29.60,$41.43,$44.39,Y,Y,N,N
136,Group And Centre Based Activities,4,Assistance with social and community participation,04_111_0136_6_1_T,Group Activities In The Community - 1:2 - Standard - Weekday Daytime - TTP,"Provision of support to enable a participant to engage in community, social and/or recreational activities. Support delivered by a TTP provider.",H,Y,N,,,$31.81,$44.54,$47.72,Y,Y,N,N
136,Group And Centre Based Activities,4,Assistance with social and community participation,04_112_0136_6_1,Group Activities In The Community - 1:2 - Standard - Saturday,"Provision of support to enable a participant to engage in community, social and/or recreational activities.",H,Y,N,,,$40.71,$56.99,$61.06,Y,Y,N,N
136,Group And Centre Based Activities,4,Assistance with social and community participation,04_112_0136_6_1_T,Group Activities In The Community - 1:2 - Standard - Saturday - TTP,"Provision of support to enable a participant to engage in community, social and/or recreational activities. Support delivered by a TTP provider.",H,Y,N,,,$43.76,$61.26,$65.64,Y,Y,N,N
136,Group And Centre Based Activities,4,Assistance with social and community participation,04_113_0136_6_1,Group Activities In The Community - 1:2 - Standard - Sunday,"Provision of support to enable a participant to engage in community, social and/or recreational activities.",H,Y,N,,,$52.93,$74.10,$79.40,Y,Y,N,N
136,Group And Centre Based Activities,4,Assistance with social and community participation,04_113_0136_6_1_T,Group Activities In The Community - 1:2 - Standard - Sunday - TTP,"Provision of support to enable a participant to engage in community, social and/or recreational activities. Support delivered by a TTP provider.",H,Y,N,,,$56.90,$79.66,$85.35,Y,Y,N,N
136,Group And Centre Based Activities,4,Assistance with social and community participation,04_114_0136_6_1,Group Activities In The Community - 1:2 - Standard - Evening,"Provision of support to enable a participant to engage in community, social and/or recreational activities.",H,Y,N,,,$32.65,$45.72,$48.98,Y,Y,N,N
136,Group And Centre Based Activities,4,Assistance with social and community participation,04_114_0136_6_1_T,Group Activities In The Community - 1:2 - Standard - Evening - TTP,"Provision of support to enable a participant to engage in community, social and/or recreational activities. Support delivered by a TTP provider.",H,Y,N,,,$35.11,$49.15,$52.66,Y,Y,N,N
125,"Participation In Community, Social And Civic Activities",4,Assistance with social and community participation,04_115_0125_6_1,"Community, Social And Recreational Activities","Annual support to enable a participant to independently engage in community, social and recreational activities when costs of participation exceed an affordable level and without, the participant would be at risk of social isolation.",YR,N,N,,,,,,Y,Y,N,Y
104,High Intensity Daily Personal Activities (Assist Integrate School/Ed),4,Assistance with social and community participation,04_116_0104_6_1,Group Activities In The Community - 1:2 - Complex - Weekday Daytime,"Provision of support to enable a participant to engage in community, social and/or recreational activities, where a support worker with additional qualifications and experience relevant to the participant’s complex needs is required.",H,Y,N,,,$32.00,$44.81,$48.01,Y,Y,N,N
104,High Intensity Daily Personal Activities (Assist Integrate School/Ed),4,Assistance with social and community participation,04_116_0104_6_1_T,Group Activities In The Community - 1:2 - Complex - Weekday Daytime - TTP,"Provision of support to enable a participant to engage in community, social and/or recreational activities, where a support worker with additional qualifications and experience relevant to the participant’s complex needs is required. Support delivered by a TTP provider.",H,Y,N,,,$34.22,$47.91,$51.33,Y,Y,N,N
104,High Intensity Daily Personal Activities (Assist Integrate School/Ed),4,Assistance with social and community participation,04_117_0104_6_1,Group Activities In The Community - 1:2 - Complex - Saturday,"Provision of support to enable a participant to engage in community, social and/or recreational activities, where a support worker with additional qualifications and experience relevant to the participant’s complex needs is required.",H,Y,N,,,$44.03,$61.65,$66.05,Y,Y,N,N
104,High Intensity Daily Personal Activities (Assist Integrate School/Ed),4,Assistance with social and community participation,04_117_0104_6_1_T,Group Activities In The Community - 1:2 - Complex - Saturday - TTP,"Provision of support to enable a participant to engage in community, social and/or recreational activities, where a support worker with additional qualifications and experience relevant to the participant’s complex needs is required. Support delivered by a TTP provider.",H,Y,N,,,$47.08,$65.92,$70.63,Y,Y,N,N
104,High Intensity Daily Personal Activities (Assist Integrate School/Ed),4,Assistance with social and community participation,04_118_0104_6_1,Group Activities In The Community - 1:2 - Complex - Sunday,"Provision of support to enable a participant to engage in community, social and/or recreational activities, where a support worker with additional qualifications and experience relevant to the participant’s complex needs is required.",H,Y,N,,,$57.25,$80.15,$85.87,Y,Y,N,N
104,High Intensity Daily Personal Activities (Assist Integrate School/Ed),4,Assistance with social and community participation,04_118_0104_6_1_T,Group Activities In The Community - 1:2 - Complex - Sunday - TTP,"Provision of support to enable a participant to engage in community, social and/or recreational activities, where a support worker with additional qualifications and experience relevant to the participant’s complex needs is required. Support delivered by a TTP provider.",H,Y,N,,,$61.22,$85.71,$91.83,Y,Y,N,N
104,High Intensity Daily Personal Activities (Assist Integrate School/Ed),4,Assistance with social and community participation,04_119_0104_6_1,Group Activities In The Community - 1:2 - Complex - Evening,"Provision of support to enable a participant to engage in community, social and/or recreational activities, where a support worker with additional qualifications and experience relevant to the participant’s complex needs is required.",H,Y,N,,,$35.31,$49.44,$52.97,Y,Y,N,N
104,High Intensity Daily Personal Activities (Assist Integrate School/Ed),4,Assistance with social and community participation,04_119_0104_6_1_T,Group Activities In The Community - 1:2 - Complex - Evening - TTP,"Provision of support to enable a participant to engage in community, social and/or recreational activities, where a support worker with additional qualifications and experience relevant to the participant’s complex needs is required. Support delivered by a TTP provider.",H,Y,N,,,$37.77,$52.87,$56.65,Y,Y,N,N
136,Group And Centre Based Activities,4,Assistance with social and community participation,04_120_0136_6_1,Group Activities In The Community - 1:3 - Standard - Weekday Daytime,"Provision of support to enable a participant to engage in community, social and/or recreational activities.",H,Y,N,,,$21.84,$30.58,$32.77,Y,Y,N,N
136,Group And Centre Based Activities,4,Assistance with social and community participation,04_120_0136_6_1_T,Group Activities In The Community - 1:3 - Standard - Weekday Daytime - TTP,"Provision of support to enable a participant to engage in community, social and/or recreational activities. Support delivered by a TTP provider.",H,Y,N,,,$23.48,$32.87,$35.22,Y,Y,N,N
136,Group And Centre Based Activities,4,Assistance with social and community participation,04_121_0136_6_1,Group Activities In The Community - 1:3 - Standard - Saturday,"Provision of support to enable a participant to engage in community, social and/or recreational activities.",H,Y,N,,,$30.05,$42.06,$45.07,Y,Y,N,N
136,Group And Centre Based Activities,4,Assistance with social and community participation,04_121_0136_6_1_T,Group Activities In The Community - 1:3 - Standard - Saturday - TTP,"Provision of support to enable a participant to engage in community, social and/or recreational activities. Support delivered by a TTP provider.",H,Y,N,,,$32.30,$45.22,$48.45,Y,Y,N,N
136,Group And Centre Based Activities,4,Assistance with social and community participation,04_122_0136_6_1,Group Activities In The Community - 1:3 - Standard - Sunday,"Provision of support to enable a participant to engage in community, social and/or recreational activities.",H,Y,N,,,$39.07,$54.70,$58.60,Y,Y,N,N
136,Group And Centre Based Activities,4,Assistance with social and community participation,04_122_0136_6_1_T,Group Activities In The Community - 1:3 - Standard - Sunday - TTP,"Provision of support to enable a participant to engage in community, social and/or recreational activities. Support delivered by a TTP provider.",H,Y,N,,,$42.00,$58.80,$63.00,Y,Y,N,N
136,Group And Centre Based Activities,4,Assistance with social and community participation,04_123_0136_6_1,Group Activities In The Community - 1:3 - Standard - Evening,"Provision of support to enable a participant to engage in community, social and/or recreational activities.",H,Y,N,,,$24.10,$33.74,$36.15,Y,Y,N,N
136,Group And Centre Based Activities,4,Assistance with social and community participation,04_123_0136_6_1_T,Group Activities In The Community - 1:3 - Standard - Evening - TTP,"Provision of support to enable a participant to engage in community, social and/or recreational activities. Support delivered by a TTP provider.",H,Y,N,,,$25.91,$36.28,$38.87,Y,Y,N,N
104,High Intensity Daily Personal Activities (Assist Integrate School/Ed),4,Assistance with social and community participation,04_124_0104_6_1,Group Activities In The Community - 1:3 - Complex - Weekday Daytime,"Provision of support to enable a participant to engage in community, social and/or recreational activities, where a support worker with additional qualifications and experience relevant to the participant’s complex needs is required.",H,Y,N,,,$23.62,$33.07,$35.43,Y,Y,N,N
104,High Intensity Daily Personal Activities (Assist Integrate School/Ed),4,Assistance with social and community participation,04_124_0104_6_1_T,Group Activities In The Community - 1:3 - Complex - Weekday Daytime - TTP,"Provision of support to enable a participant to engage in community, social and/or recreational activities, where a support worker with additional qualifications and experience relevant to the participant’s complex needs is required. Support delivered by a TTP provider.",H,Y,N,,,$25.26,$35.36,$37.89,Y,Y,N,N
104,High Intensity Daily Personal Activities (Assist Integrate School/Ed),4,Assistance with social and community participation,04_125_0104_6_1,Group Activities In The Community - 1:3 - Complex - Saturday,"Provision of support to enable a participant to engage in community, social and/or recreational activities, where a support worker with additional qualifications and experience relevant to the participant’s complex needs is required.",H,Y,N,,,$32.50,$45.50,$48.75,Y,Y,N,N
104,High Intensity Daily Personal Activities (Assist Integrate School/Ed),4,Assistance with social and community participation,04_125_0104_6_1_T,Group Activities In The Community - 1:3 - Complex - Saturday - TTP,"Provision of support to enable a participant to engage in community, social and/or recreational activities, where a support worker with additional qualifications and experience relevant to the participant’s complex needs is required. Support delivered by a TTP provider.",H,Y,N,,,$34.75,$48.65,$52.13,Y,Y,N,N
104,High Intensity Daily Personal Activities (Assist Integrate School/Ed),4,Assistance with social and community participation,04_126_0104_6_1,Group Activities In The Community - 1:3 - Complex - Sunday,"Provision of support to enable a participant to engage in community, social and/or recreational activities, where a support worker with additional qualifications and experience relevant to the participant’s complex needs is required.",H,Y,N,,,$42.26,$59.16,$63.38,Y,Y,N,N
104,High Intensity Daily Personal Activities (Assist Integrate School/Ed),4,Assistance with social and community participation,04_126_0104_6_1_T,Group Activities In The Community - 1:3 - Complex - Sunday - TTP,"Provision of support to enable a participant to engage in community, social and/or recreational activities, where a support worker with additional qualifications and experience relevant to the participant’s complex needs is required. Support delivered by a TTP provider.",H,Y,N,,,$45.19,$63.26,$67.78,Y,Y,N,N
104,High Intensity Daily Personal Activities (Assist Integrate School/Ed),4,Assistance with social and community participation,04_127_0104_6_1,Group Activities In The Community - 1:3 - Complex - Evening,"Provision of support to enable a participant to engage in community, social and/or recreational activities, where a support worker with additional qualifications and experience relevant to the participant’s complex needs is required.",H,Y,N,,,$26.06,$36.49,$39.10,Y,Y,N,N
104,High Intensity Daily Personal Activities (Assist Integrate School/Ed),4,Assistance with social and community participation,04_127_0104_6_1_T,Group Activities In The Community - 1:3 - Complex - Evening - TTP,"Provision of support to enable a participant to engage in community, social and/or recreational activities, where a support worker with additional qualifications and experience relevant to the participant’s complex needs is required. Support delivered by a TTP provider.",H,Y,N,,,$27.88,$39.03,$41.81,Y,Y,N,N
136,Group And Centre Based Activities,4,Assistance with social and community participation,04_128_0136_6_1,Group Activities In The Community - 1:2 - Standard - Public Holiday,"Provision of support to enable a participant to engage in community, social and/or recreational activities.",H,Y,N,,,$66.27,$92.78,$99.41,Y,Y,N,N
136,Group And Centre Based Activities,4,Assistance with social and community participation,04_128_0136_6_1_T,Group Activities In The Community - 1:2 - Standard - Public Holiday - TTP,"Provision of support to enable a participant to engage in community, social and/or recreational activities. Support delivered by a TTP provider.",H,Y,N,,,$71.24,$99.73,$106.86,Y,Y,N,N
136,Group And Centre Based Activities,4,Assistance with social and community participation,04_129_0136_6_1,Group Activities In The Community - 1:3 - Standard - Public Holiday,"Provision of support to enable a participant to engage in community, social and/or recreational activities.",H,Y,N,,,$48.91,$68.48,$73.37,Y,Y,N,N
136,Group And Centre Based Activities,4,Assistance with social and community participation,04_129_0136_6_1_T,Group Activities In The Community - 1:3 - Standard - Public Holiday - TTP,"Provision of support to enable a participant to engage in community, social and/or recreational activities. Support delivered by a TTP provider.",H,Y,N,,,$52.58,$73.61,$78.87,Y,Y,N,N
104,High Intensity Daily Personal Activities (Assist Integrate School/Ed),4,Assistance with social and community participation,04_130_0104_6_1,Group Activities In The Community - 1:2 - Complex - Public Holiday,"Provision of support to enable a participant to engage in community, social and/or recreational activities, where a support worker with additional qualifications and experience relevant to the participant’s complex needs is required.",H,Y,N,,,$71.66,$100.33,$107.49,Y,Y,N,N
104,High Intensity Daily Personal Activities (Assist Integrate School/Ed),4,Assistance with social and community participation,04_130_0104_6_1_T,Group Activities In The Community - 1:2 - Complex - Public Holiday - TTP,"Provision of support to enable a participant to engage in community, social and/or recreational activities, where a support worker with additional qualifications and experience relevant to the participant’s complex needs is required. Support delivered by a TTP provider.",H,Y,N,,,$76.63,$107.28,$114.95,Y,Y,N,N
104,High Intensity Daily Personal Activities (Assist Integrate School/Ed),4,Assistance with social and community participation,04_131_0104_6_1,Group Activities In The Community - 1:3 - Complex - Public Holiday,"Provision of support to enable a participant to engage in community, social and/or recreational activities, where a support worker with additional qualifications and experience relevant to the participant’s complex needs is required.",H,Y,N,,,$52.89,$74.05,$79.34,Y,Y,N,N
104,High Intensity Daily Personal Activities (Assist Integrate School/Ed),4,Assistance with social and community participation,04_131_0104_6_1_T,Group Activities In The Community - 1:3 - Complex - Public Holiday - TTP,"Provision of support to enable a participant to engage in community, social and/or recreational activities, where a support worker with additional qualifications and experience relevant to the participant’s complex needs is required. Support delivered by a TTP provider.",H,Y,N,,,$56.56,$79.18,$84.84,Y,Y,N,N
136,Group And Centre Based Activities,4,Assistance with social and community participation,04_136_0136_6_1,Group Activities In The Community - 1:4 - Standard - Weekday Daytime,"Provision of support to enable a participant to engage in community, social and/or recreational activities.",H,Y,N,,,$17.97,$25.16,$26.95,Y,Y,N,N
136,Group And Centre Based Activities,4,Assistance with social and community participation,04_136_0136_6_1_T,Group Activities In The Community - 1:4 - Standard - Weekday Daytime - TTP,"Provision of support to enable a participant to engage in community, social and/or recreational activities. Support delivered by a TTP provider.",H,Y,N,,,$19.32,$27.04,$28.97,Y,Y,N,N
136,Group And Centre Based Activities,4,Assistance with social and community participation,04_137_0136_6_1,Group Activities In The Community - 1:4 - Standard - Evening,"Provision of support to enable a participant to engage in community, social and/or recreational activities.",H,Y,N,,,$19.83,$27.76,$29.74,Y,Y,N,N
136,Group And Centre Based Activities,4,Assistance with social and community participation,04_137_0136_6_1_T,Group Activities In The Community - 1:4 - Standard - Evening - TTP,"Provision of support to enable a participant to engage in community, social and/or recreational activities. Support delivered by a TTP provider.",H,Y,N,,,$21.31,$29.84,$31.97,Y,Y,N,N
136,Group And Centre Based Activities,4,Assistance with social and community participation,04_138_0136_6_1,Group Activities In The Community - 1:4 - Standard - Saturday,"Provision of support to enable a participant to engage in community, social and/or recreational activities.",H,Y,N,,,$24.71,$34.60,$37.07,Y,Y,N,N
136,Group And Centre Based Activities,4,Assistance with social and community participation,04_138_0136_6_1_T,Group Activities In The Community - 1:4 - Standard - Saturday - TTP,"Provision of support to enable a participant to engage in community, social and/or recreational activities. Support delivered by a TTP provider.",H,Y,N,,,$26.57,$37.19,$39.85,Y,Y,N,N
136,Group And Centre Based Activities,4,Assistance with social and community participation,04_139_0136_6_1,Group Activities In The Community - 1:4 - Standard - Sunday,"Provision of support to enable a participant to engage in community, social and/or recreational activities.",H,Y,N,,,$32.14,$44.99,$48.21,Y,Y,N,N
136,Group And Centre Based Activities,4,Assistance with social and community participation,04_139_0136_6_1_T,Group Activities In The Community - 1:4 - Standard - Sunday - TTP,"Provision of support to enable a participant to engage in community, social and/or recreational activities. Support delivered by a TTP provider.",H,Y,N,,,$34.55,$48.37,$51.82,Y,Y,N,N
136,Group And Centre Based Activities,4,Assistance with social and community participation,04_140_0136_6_1,Group Activities In The Community - 1:4 - Standard - Public Holiday,"Provision of support to enable a participant to engage in community, social and/or recreational activities.",H,Y,N,,,$40.24,$56.33,$60.35,Y,Y,N,N
136,Group And Centre Based Activities,4,Assistance with social and community participation,04_140_0136_6_1_T,Group Activities In The Community - 1:4 - Standard - Public Holiday - TTP,"Provision of support to enable a participant to engage in community, social and/or recreational activities. Support delivered by a TTP provider.",H,Y,N,,,$43.25,$60.55,$64.88,Y,Y,N,N
136,Group And Centre Based Activities,4,Assistance with social and community participation,04_141_0136_6_1,Group Activities In The Community - 1:5 - Standard - Weekday Daytime,"Provision of support to enable a participant to engage in community, social and/or recreational activities.",H,Y,N,,,$15.64,$21.90,$23.47,Y,Y,N,N
136,Group And Centre Based Activities,4,Assistance with social and community participation,04_141_0136_6_1_T,Group Activities In The Community - 1:5 - Standard - Weekday Daytime - TTP,"Provision of support to enable a participant to engage in community, social and/or recreational activities. Support delivered by a TTP provider.",H,Y,N,,,$16.82,$23.54,$25.22,Y,Y,N,N
136,Group And Centre Based Activities,4,Assistance with social and community participation,04_142_0136_6_1,Group Activities In The Community - 1:5 - Standard - Evening,"Provision of support to enable a participant to engage in community, social and/or recreational activities.",H,Y,N,,,$17.26,$24.16,$25.89,Y,Y,N,N
136,Group And Centre Based Activities,4,Assistance with social and community participation,04_142_0136_6_1_T,Group Activities In The Community - 1:5 - Standard - Evening - TTP,"Provision of support to enable a participant to engage in community, social and/or recreational activities. Support delivered by a TTP provider.",H,Y,N,,,$18.56,$25.98,$27.83,Y,Y,N,N
136,Group And Centre Based Activities,4,Assistance with social and community participation,04_143_0136_6_1,Group Activities In The Community - 1:5 - Standard - Saturday,"Provision of support to enable a participant to engage in community, social and/or recreational activities.",H,Y,N,,,$21.52,$30.12,$32.27,Y,Y,N,N
